id,label,cLabelIdx,cCntryCode,cLCControlNumber,UpName
227,Golden Tone,GOLDEN TONE,,,GOLDEN TONE
228,Finesse,FINESSE,,,FINESSE
229,Harmony,HARMONY,,,HARMONY
230,Signal,SIGNAL,,,SIGNAL
232,New Jazz,NEW JAZZ,,,NEW JAZZ
233,Metrojazz,METROJAZZ,,,METROJAZZ
234,Vik,VIK,,,VIK
235,Period,PERIOD,,,PERIOD
236,Felsted,FELSTED,,,FELSTED
237,Stere-o-craft,STERE-O-CRAFT,,,STERE-O-CRAFT
238,Transition,TRANSITION,,,TRANSITION
239,Dawn,DAWN,,,DAWN
240,Savoy,SAVOY,,,SAVOY
241,Dial,DIAL,,,DIAL
242,Bee Hive,BEE HIVE,,,BEE HIVE
243,El Saturn,EL SATURN,,,EL SATURN
244,Gryphon,GRYPHON,,,GRYPHON
245,OmniSound,OMNISOUND,,,OMNISOUND
246,[radio broadcast],RADIO BROADCAST,,,[RADIO BROADCAST]
247,Metronome,METRONOME,,,METRONOME
248,Esquire,ESQUIRE,,,ESQUIRE
249,Vogue,VOGUE,,,VOGUE
250,Swing,SWING,,,SWING
251,Chance,CHANCE,,,CHANCE
252,Delmark,DELMARK,,,DELMARK
253,Flying Fish,FLYING FISH,,,FLYING FISH
254,Unicom,UNICOM,,,UNICOM
255,Questique,QUESTIQUE,,,QUESTIQUE
256,Spinnster,SPINNSTER,,,SPINNSTER
257,Ram,RAM,,,RAM
258,Drive Archive,DRIVE ARCHIVE,,,DRIVE ARCHIVE
259,IAJRC,IAJRC,,,IAJRC
260,Elektra/Musician,ELEKTRA/MUSICIAN,,,ELEKTRA/MUSICIAN
261,Galaxy,GALAXY,,,GALAXY
262,Global,GLOBAL,,,GLOBAL
263,Amosaya,AMOSAYA,,,AMOSAYA
264,Discovery,DISCOVERY,,,DISCOVERY
265,Trend,TREND,,,TREND
266,Strings Attached,STRINGS ATTACHED,,,STRINGS ATTACHED
267,Strand,STRAND,,,STRAND
268,Charlie Parker,CHARLIE PARKER,,,CHARLIE PARKER
269,MPS,MPS,,,MPS
270,Ping,PING,,,PING
271,Aristocrat,ARISTOCRAT,,,ARISTOCRAT
272,Verro,VERRO,,,VERRO
273,National,NATIONAL,,,NATIONAL
274,Universal,UNIVERSAL,,,UNIVERSAL
275,Collectables,COLLECTABLES,,,COLLECTABLES
276,Onyx,ONYX,,,ONYX
277,Go Jazz,GO JAZZ,,,GO JAZZ
278,Coda,CODA,,,CODA
279,Gadfly,GADFLY,,,GADFLY
280,Unicorn Productions,UNICORN PRODUCTIONS,,,UNICORN PRODUCTIONS
281,Ades,ADES,,,ADES
282,King,KING,,,KING
283,Time,TIME,,,TIME
284,Zim,ZIM,,,ZIM
285,West 54,WEST 54,,,WEST 54
